Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.
1	0.610896584739146	2.99259210434806	0.673236968632525	173.174306846248	183.045309745406	203.977778128496
2	0.227138490362729	0.729540009352174	0.378296809207878	111.785426627234	119.080958156026	155.297088820259
3	0.000885726538892446	-0.0233128497391513	0.277869756263203	78.7050238935586	80.9666663700334	126.511137796539
4	0.11278219990765	-0.201671285154775	-0.00190362629020369	58.6093544370301	57.7152254771246	106.911128457668
5	0.293152318223588	-0.299137406304315	0.13745506319678	45.3750385715739	42.0134814563605	92.1677589000399
6	0.404621710241224	-0.44718207472555	0.246011941544932	36.1499876589589	31.4127428362896	81.5524027724779
7	0.62925544293577	-0.523522627912105	0.524839024764979	29.4449338811677	23.6499387894888	73.14682574829
8	0.596325844152353	-0.646766795951293	0.484655926688716	24.4124266357533	17.7194016440716	66.2263346614907
9	0.640273439352946	-0.72113494380156	0.543346445946145	20.537527522685	13.7900881540864	60.4121875890399
10	0.713534775021135	-0.745320563718806	0.635365660635533	17.4909311922309	10.9641312423175	55.4475512674076
11	0.698253072778206	-0.798427224770716	0.618697873257151	15.0532895418911	8.87827737987443	51.1513810920246
12	0.816951927702577	-0.818579001155423	0.765177375068917	13.0735658851224	7.20341346912546	47.3920501914215
13	0.787373054036751	-0.851319868452166	0.72692839544938	11.4448510013048	5.91176409855304	44.0713761324067
14	0.713240301815498	-0.867532610134052	0.631310300232902	10.0896822561198	4.7603956362519	41.1145077019466
15	0.78678273396841	-0.929819718872709	0.732057563707647	8.95079454773047	3.88421726669345	38.46329117445
16	0.840118497773559	-0.934115433076437	0.807165218027744	7.98510704266674	3.27838997766317	36.0717892632476
17	0.839847427821573	-0.93971931937947	0.811975604500061	7.15970656436975	2.73832359508354	33.9031773198497
18	0.801450131143931	-0.967409368473378	0.760982605384226	6.44910092588836	2.28264529616807	31.927545918726
19	0.801915567596728	-0.93594107622273	0.755468476084456	5.83330156485735	1.90820237452876	30.1203146932063
20	0.842878498486782	-0.966605564207796	0.805090298519816	5.2964604124226	1.63767402221972	28.4610673567281
21	0.885287214248065	-0.978930139245891	0.858586631893905	4.825884838229	1.41888475487283	26.9326825778207
22	0.903734925595909	-0.97275577935675	0.884418224192583	4.4113152702942	1.22305058770295	25.520676306683
23	0.911853728744066	-0.957253981468792	0.898358151731781	4.04438834378802	1.01600731402152	24.2126976271706
24	0.912396534675598	-0.951859595578647	0.899334004950542	3.71823305860928	0.876177493585266	22.998137688529
25	0.938874372736055	-0.952611445716875	0.934369769001501	3.42716359654991	0.749489235946407	21.8678230288938
26	0.921856765922226	-0.956385576141478	0.91650333828639	3.16644326060954	0.639974856474595	20.8137726464783
27	0.939834422463574	-0.954166790374172	0.939019464414416	2.93210134713004	0.537511773317298	19.8290037641754
28	0.94034317295719	-0.961000298629644	0.937480018381506	2.72078983086852	0.454782895304915	18.9073751741664
29	0.938979808077762	-0.9621276610079	0.93377462599962	2.52967028900193	0.381465868325433	18.0434598647915
30	0.956345564707091	-0.971326489670618	0.954639863045773	2.3563240019407	0.326195204398801	17.232440668722
31	0.910465416674427	-0.986751254373163	0.896480804310593	2.19867996927965	0.285393933671718	16.4700241618504
32	0.910637108753092	-0.995282893090335	0.897218505442235	2.05495688390093	0.249451910978515	15.7523691446011
33	0.925780443801923	-0.983790318192844	0.919382058429764	1.92361606235105	0.219379160078217	15.0760268607732
34	0.92898267994591	-0.978967170795038	0.922650610530844	1.80332303549266	0.192719661212865	14.4378907298658
35	0.924397826764119	-0.970327524793604	0.916633155731711	1.69291602978831	0.172526985907287	13.8351538410448
36	0.931117636901787	-0.966239676168795	0.925029344249761	1.59137996536527	0.160201570728652	13.265272819009
37	0.923812400273958	-0.964235810179059	0.912857628557218	1.49782489697927	0.146478959760149	12.8161320271282
38	0.88118398594798	-1.00512477507434	0.851022198543594	1.41146805303758	0.130730324057233	12.4167898872384
39	0.92647184485603	-1.00195485132598	0.915736878327596	1.33161880395979	0.115271501044456	12.0362007939041
40	0.939405961778086	-1.00471697699045	0.93754461289803	1.25766602748217	0.100813435153051	11.6730911796507
41	0.947291302024651	-1.02045656657201	0.944881655545175	1.18906744470478	0.0876972708800259	11.3263029174216
42	0.97562210646225	-1.01781750703898	0.979114366100296	1.12534058389848	0.0763953051887141	10.9947803290487
43	0.969538662302968	-1.02885470481695	0.974565109668848	1.06605509467379	0.0683955546421511	10.6775589216272
44	0.87728506070578	-1.06102301474248	0.863911178077433	1.01082618708388	0.0592550318952496	10.3737555887792
45	0.948200486652163	-1.03487368436079	0.955446487055511	0.959309011628798	0.0513768487445421	10.0825600586043
46	0.94984244414406	-1.03717715933974	0.953582573063889	0.911193829263833	0.0451899521944053	9.80322740651757
47	0.939876953429111	-1.03330839046311	0.941351358304385	0.866201847163918	0.0406392878996817	9.53507148089227
48	0.882251395428955	-1.06131963205284	0.881546321145439	0.824081617527144	0.0365780771722974	9.27745911378011
49	0.887673691321726	-1.06826399494033	0.88407646020328	0.784605914170885	0.0323415668919367	9.02980500903817
50	0.910497191165839	-1.06372654504491	0.925190739739775	0.747569015909817	0.0281585304640977	8.79156721677239
