gene_id	module_id	wgcna_numeric_label	wgcna_color	assigned_kme
ENSRNOG00000014900	M007	7	black	0.737104722286721
ENSRNOG00000015002	M003	3	brown	0.761106398401946
ENSRNOG00000015003	M003	3	brown	0.953193109917125
ENSRNOG00000015131	M001	1	turquoise	0.324108604112666
ENSRNOG00000015162	M004	4	yellow	0.858001786940301
ENSRNOG00000015187	M001	1	turquoise	0.981065463411285
ENSRNOG00000015389	M007	7	black	0.679450997606694
ENSRNOG00000015416	M007	7	black	0.715530393905602
ENSRNOG00000015441	M005	5	green	0.753501036948447
ENSRNOG00000016021	M007	7	black	0.852322197391453
ENSRNOG00000016219	M001	1	turquoise	0.963719839827972
ENSRNOG00000016353	M003	3	brown	0.863280578748139
ENSRNOG00000016509	M003	3	brown	0.814439741658712
ENSRNOG00000016541	M003	3	brown	0.649640170157382
ENSRNOG00000016552	M003	3	brown	0.50266840529738
ENSRNOG00000016692	M004	4	yellow	0.943659761335345
ENSRNOG00000016776	M002	2	blue	0.921785428166134
ENSRNOG00000016791	M007	7	black	0.626162857007856
ENSRNOG00000016940	M006	6	red	0.936320023123831
ENSRNOG00000016949	M005	5	green	0.837157674264243
ENSRNOG00000016975	M003	3	brown	0.353442383987764
ENSRNOG00000017090	M006	6	red	0.73581208841698
ENSRNOG00000017210	M006	6	red	0.794988697701155
ENSRNOG00000017286	M004	4	yellow	0.609849810829732
ENSRNOG00000017619	M001	1	turquoise	0.933185057784231
ENSRNOG00000017693	M002	2	blue	0.62915751091148
ENSRNOG00000017854	M004	4	yellow	0.658772202076078
ENSRNOG00000018114	M001	1	turquoise	0.954095251123691
ENSRNOG00000018239	M001	1	turquoise	0.95412331020489
ENSRNOG00000018375	M004	4	yellow	0.848081658389021
ENSRNOG00000018457	M003	3	brown	0.926559486103711
ENSRNOG00000018487	M004	4	yellow	0.744015755168823
ENSRNOG00000018494	M007	7	black	0.797546460772514
ENSRNOG00000018505	M001	1	turquoise	0.920306344653524
ENSRNOG00000018516	M001	1	turquoise	0.934345055876841
ENSRNOG00000018606	M002	2	blue	0.738716812104158
ENSRNOG00000018627	M004	4	yellow	0.809979085046759
ENSRNOG00000018944	M003	3	brown	0.955037286546448
ENSRNOG00000019020	M003	3	brown	0.906969922736927
ENSRNOG00000019120	M001	1	turquoise	0.952175060619046
ENSRNOG00000019283	M002	2	blue	0.706326254061421
